image,label,dataset,is_real
/ictstr01/home/aih/jan.boada/project/codes/datasets/data/matek/real_train_fewshot/seed0/Atypical Lymphocyte/LYA_0001.tiff,Atypical Lymphocyte,matek,1
/ictstr01/home/aih/jan.boada/project/codes/datasets/data/matek/real_train_fewshot/seed0/Atypical Lymphocyte/LYA_0002.tiff,Atypical Lymphocyte,matek,1
/ictstr01/home/aih/jan.boada/project/codes/datasets/data/matek/real_train_fewshot/seed0/Atypical Lymphocyte/LYA_0003.tiff,Atypical Lymphocyte,matek,1
/ictstr01/home/aih/jan.boada/project/codes/datasets/data/matek/real_train_fewshot/seed0/Atypical Lymphocyte/LYA_0004.tiff,Atypical Lymphocyte,matek,1
/ictstr01/home/aih/jan.boada/project/codes/datasets/data/matek/real_train_fewshot/seed0/Atypical Lymphocyte/LYA_0005.tiff,Atypical Lymphocyte,matek,1
/ictstr01/home/aih/jan.boada/project/codes/datasets/data/matek/real_train_fewshot/seed0/Atypical Lymphocyte/LYA_0006.tiff,Atypical Lymphocyte,matek,1
/ictstr01/home/aih/jan.boada/project/codes/datasets/data/matek/real_train_fewshot/seed0/Atypical Lymphocyte/LYA_0007.tiff,Atypical Lymphocyte,matek,1
/ictstr01/home/aih/jan.boada/project/codes/datasets/data/matek/real_train_fewshot/seed0/Atypical Lymphocyte/LYA_0008.tiff,Atypical Lymphocyte,matek,1
/ictstr01/home/aih/jan.boada/project/codes/datasets/data/matek/real_train_fewshot/seed0/Atypical Lymphocyte/LYA_0009.tiff,Atypical Lymphocyte,matek,1
/ictstr01/home/aih/jan.boada/project/codes/datasets/data/matek/real_train_fewshot/seed0/Atypical Lymphocyte/LYA_0010.tiff,Atypical Lymphocyte,matek,1
/ictstr01/home/aih/jan.boada/project/codes/datasets/data/matek/real_train_fewshot/seed0/Atypical Lymphocyte/LYA_0011.tiff,Atypical Lymphocyte,matek,1
/ictstr01/home/aih/jan.boada/project/codes/datasets/data/matek/real_train_fewshot/seed0/Atypical Lymphocyte/LYA_0012.tiff,Atypical Lymphocyte,matek,1
/ictstr01/home/aih/jan.boada/project/codes/datasets/data/matek/real_train_fewshot/seed0/Atypical Lymphocyte/LYA_0013.tiff,Atypical Lymphocyte,matek,1
/ictstr01/home/aih/jan.boada/project/codes/datasets/data/matek/real_train_fewshot/seed0/Atypical Lymphocyte/LYA_0014.tiff,Atypical Lymphocyte,matek,1
/ictstr01/home/aih/jan.boada/project/codes/datasets/data/matek/real_train_fewshot/seed0/Atypical Lymphocyte/LYA_0015.tiff,Atypical Lymphocyte,matek,1
/ictstr01/home/aih/jan.boada/project/codes/datasets/data/matek/real_train_fewshot/seed0/Atypical Lymphocyte/LYA_0016.tiff,Atypical Lymphocyte,matek,1
/home/aih/jan.boada/project/codes/results/synthetic/matek/sd2.1/gs2.0_nis50/shot16_seed6_template1_lr0.0001_ep300/train/Atypical Lymphocyte/0.png,Atypical Lymphocyte,matek,0
/home/aih/jan.boada/project/codes/results/synthetic/matek/sd2.1/gs2.0_nis50/shot16_seed6_template1_lr0.0001_ep300/train/Atypical Lymphocyte/1.png,Atypical Lymphocyte,matek,0
/home/aih/jan.boada/project/codes/results/synthetic/matek/sd2.1/gs2.0_nis50/shot16_seed6_template1_lr0.0001_ep300/train/Atypical Lymphocyte/10.png,Atypical Lymphocyte,matek,0
/home/aih/jan.boada/project/codes/results/synthetic/matek/sd2.1/gs2.0_nis50/shot16_seed6_template1_lr0.0001_ep300/train/Atypical Lymphocyte/100.png,Atypical Lymphocyte,matek,0
/home/aih/jan.boada/project/codes/results/synthetic/matek/sd2.1/gs2.0_nis50/shot16_seed6_template1_lr0.0001_ep300/train/Atypical Lymphocyte/101.png,Atypical Lymphocyte,matek,0
/home/aih/jan.boada/project/codes/results/synthetic/matek/sd2.1/gs2.0_nis50/shot16_seed6_template1_lr0.0001_ep300/train/Atypical Lymphocyte/102.png,Atypical Lymphocyte,matek,0
/home/aih/jan.boada/project/codes/results/synthetic/matek/sd2.1/gs2.0_nis50/shot16_seed6_template1_lr0.0001_ep300/train/Atypical Lymphocyte/103.png,Atypical Lymphocyte,matek,0
/home/aih/jan.boada/project/codes/results/synthetic/matek/sd2.1/gs2.0_nis50/shot16_seed6_template1_lr0.0001_ep300/train/Atypical Lymphocyte/104.png,Atypical Lymphocyte,matek,0
/home/aih/jan.boada/project/codes/results/synthetic/matek/sd2.1/gs2.0_nis50/shot16_seed6_template1_lr0.0001_ep300/train/Atypical Lymphocyte/105.png,Atypical Lymphocyte,matek,0
/home/aih/jan.boada/project/codes/results/synthetic/matek/sd2.1/gs2.0_nis50/shot16_seed6_template1_lr0.0001_ep300/train/Atypical Lymphocyte/106.png,Atypical Lymphocyte,matek,0
/home/aih/jan.boada/project/codes/results/synthetic/matek/sd2.1/gs2.0_nis50/shot16_seed6_template1_lr0.0001_ep300/train/Atypical Lymphocyte/107.png,Atypical Lymphocyte,matek,0
/home/aih/jan.boada/project/codes/results/synthetic/matek/sd2.1/gs2.0_nis50/shot16_seed6_template1_lr0.0001_ep300/train/Atypical Lymphocyte/108.png,Atypical Lymphocyte,matek,0
/home/aih/jan.boada/project/codes/results/synthetic/matek/sd2.1/gs2.0_nis50/shot16_seed6_template1_lr0.0001_ep300/train/Atypical Lymphocyte/109.png,Atypical Lymphocyte,matek,0
/home/aih/jan.boada/project/codes/results/synthetic/matek/sd2.1/gs2.0_nis50/shot16_seed6_template1_lr0.0001_ep300/train/Atypical Lymphocyte/11.png,Atypical Lymphocyte,matek,0
/home/aih/jan.boada/project/codes/results/synthetic/matek/sd2.1/gs2.0_nis50/shot16_seed6_template1_lr0.0001_ep300/train/Atypical Lymphocyte/110.png,Atypical Lymphocyte,matek,0
