experiment,val_top1_mean,val_top1_std,val_f1_macro_mean,val_f1_macro_std,val_f1_micro_mean,val_f1_micro_std,val_auc_macro_mean,val_auc_macro_std,test_top1_mean,test_top1_std,test_f1_macro_mean,test_f1_macro_std,test_f1_micro_mean,test_f1_micro_std,test_auc_macro_mean,test_auc_macro_std
0,0.4026791389391902,0.06871426404287508,0.07509848226736145,0.02647373591679188,0.4026791389391902,0.06871426404287508,0.5733645973858243,0.06756699442904061,0.27269404789678525,0.09607820319306995,0.07011325952013674,0.012349636246346215,0.27269404789678525,0.09607820319306995,0.5625956940513334,0.03081296577411437
100,0.6212208284667952,0.05985501924776662,0.4142931920309894,0.023675767632266562,0.621271142932204,0.05987326850032275,0.8974202590963415,0.011881272045272347,0.4867683970968527,0.047480723230958005,0.34795236915772093,0.04506145441533409,0.4867683970968528,0.04748072323095802,0.8190899145790624,0.016384520798197
200,0.6530030457519559,0.01762606192609603,0.5288737608926988,0.022525036720033302,0.6529562511801263,0.01779478149841962,0.9271222212552545,0.00530833604683431,0.5215683241796583,0.025358006676385117,0.45869810724926163,0.021380996711461403,0.5215683241796583,0.02535800667638512,0.8650314715388487,0.008385218663573507
300,0.6513219360557774,0.02452996078317068,0.5899387111140686,0.024541101087122222,0.6513219360557774,0.02452996078317068,0.9399102053234986,0.003846468484580069,0.5308239825480681,0.030059947804607252,0.5035542644838342,0.0165477340751753,0.5307365317391481,0.0301946351766694,0.8853566036552516,0.010199871913586674
400,0.6691689614174636,0.019081245605976713,0.6143741771218967,0.03631306016777154,0.6691689614174636,0.019081245605976713,0.9495498666236065,0.005723568334902828,0.5185863830055869,0.014688160873879051,0.5094274165744815,0.015538885260230582,0.5185863830055869,0.014688160873879051,0.8876530323844136,0.00501709287088531
500,0.691674582500014,0.017707917252060515,0.6592402136516116,0.02801223085286527,0.691674582500014,0.017707917252060515,0.9571905955344373,0.005198223335171512,0.551834288499353,0.03703234811424313,0.5572490833015722,0.02163401587452018,0.551834288499353,0.03703234811424313,0.912668600573768,0.0035210134687823328
600,0.7126635936089742,0.020483667616947736,0.6903426768068038,0.019531158183619775,0.7126635936089742,0.020483667616947653,0.9653355066395019,0.004694573007677171,0.5846474175137596,0.019635385690969127,0.5796235198319797,0.010820947827871873,0.5846108811600876,0.019643355260209862,0.9172379773412652,0.00697605736989766
700,0.7107576252404794,0.008626243339052474,0.7030759296959675,0.013892715329841508,0.7107576252404794,0.008626243339052556,0.9678378595143048,0.002125905856866385,0.5991266717349155,0.026269586024404167,0.6111414409996909,0.014406831686138093,0.5991266717349155,0.026269586024404185,0.9295628301741085,0.006172908408664299
800,0.733505048164544,0.013148660537518767,0.7248549025971839,0.016266253706989985,0.733505048164544,0.013148660537518767,0.9708551258386716,0.0020822200056116974,0.615995203193535,0.013648427286025657,0.6126510765101371,0.016294850490621328,0.615995203193535,0.013648427286025682,0.9359830179623847,0.007671745180653952
900,0.7533262555602724,0.013757916969291246,0.7567970290048789,0.015384977389682664,0.7533262604822287,0.013780142596790028,0.9763581348424124,0.001965353218183312,0.656909045940309,0.025424145418804403,0.6604733750347437,0.014918049120810187,0.6568462959203136,0.02539474342427712,0.9410290367685409,0.00213151297534976
1000,0.7700774900418528,0.02109563529869291,0.7710624271113871,0.018382877036601554,0.7700774900418528,0.02109563529869293,0.9786910378216908,0.003184207425629949,0.64083565156979,0.024204695984242762,0.6519299190857181,0.02041312311751651,0.64083565156979,0.024204695984242807,0.938902570460956,0.007564574804588635
2000,0.8239065835647803,0.01965354028256694,0.8441387016525083,0.010183909188488995,0.823865237758685,0.01961522925800498,0.9892651884743936,0.001433086101855598,0.7241791744194059,0.009565161557851358,0.738331117491612,0.007916006831016911,0.7241585004479361,0.009603098563630699,0.9627063326704297,0.005926667529028395
3000,0.8596538472432187,0.011087662825318563,0.8724110018239444,0.007385200668393917,0.8596380669055194,0.011095612306251302,0.9932633007944904,0.0006870606319875105,0.7497313949974151,0.014837818739626198,0.7698310884392476,0.012022354247706325,0.7497787360105128,0.014844772805493513,0.9757289169225676,0.004635314906466632
balanced,0.8151555555555555,0.008270727795762916,0.805577205336335,0.010359998779577642,0.8151555555555555,0.008270727795762916,0.9886445992063491,0.00042762606689350974,0.7147555555555556,0.009938825228042793,0.7142396705178555,0.008967591925813688,0.7147555555555556,0.009938825228042793,0.9696592460317461,0.0019325831967431173
synthetic,0.9289777777777777,0.007791416613139486,0.9298637481469271,0.007745377323964182,0.9289999999999999,0.007835106182362177,0.9985965013227514,0.00021198005963561116,0.8140444444444445,0.006550657303745274,0.8232460168091963,0.004484285074669845,0.8140444444444445,0.006550657303745274,0.9863462182539682,0.0016148687955952234
